"Area","Date","Daily-Confirmed","Daily-Deceased","Daily-Vaccinated1","Daily-Vaccinated2","Total-Vaccinated1","Total-Vaccinated2"
"INDIA","2020-01-30","1","NA","NA","NA","NA","NA"
"INDIA","2020-02-02","1","NA","NA","NA","NA","NA"
"INDIA","2020-02-03","1","NA","NA","NA","NA","NA"
"INDIA","2020-02-14","NA","NA","NA","NA","NA","NA"
"INDIA","2020-03-02","2","NA","NA","NA","NA","NA"
"INDIA","2020-03-03","1","NA","NA","NA","NA","NA"
"INDIA","2020-03-04","22","NA","NA","NA","NA","NA"
"INDIA","2020-03-05","2","NA","NA","NA","NA","NA"
"INDIA","2020-03-06","1","NA","NA","NA","NA","NA"
"INDIA","2020-03-07","3","NA","NA","NA","NA","NA"
"INDIA","2020-03-08","5","NA","NA","NA","NA","NA"
"INDIA","2020-03-09","9","NA","NA","NA","NA","NA"
"INDIA","2020-03-10","15","NA","NA","NA","NA","NA"
"INDIA","2020-03-11","8","NA","NA","NA","NA","NA"
"INDIA","2020-03-12","10","NA","NA","NA","NA","NA"
"INDIA","2020-03-13","10","1","NA","NA","NA","NA"
"INDIA","2020-03-14","11","NA","NA","NA","NA","NA"
"INDIA","2020-03-15","10","NA","NA","NA","NA","NA"
"INDIA","2020-03-16","14","NA","NA","NA","NA","NA"
"INDIA","2020-03-17","20","NA","NA","NA","NA","NA"
"INDIA","2020-03-18","25","NA","NA","NA","NA","NA"
"INDIA","2020-03-19","27","NA","NA","NA","NA","NA"
"INDIA","2020-03-20","58","NA","NA","NA","NA","NA"
"INDIA","2020-03-21","78","NA","NA","NA","NA","NA"
"INDIA","2020-03-22","69","NA","NA","NA","NA","NA"
"INDIA","2020-03-23","94","NA","NA","NA","NA","NA"
"INDIA","2020-03-24","74","NA","NA","NA","NA","NA"
"INDIA","2020-03-25","86","NA","NA","NA","NA","NA"
"INDIA","2020-03-26","73","1","NA","NA","NA","NA"
"INDIA","2020-03-27","153","1","NA","NA","NA","NA"
